Year,CensusCode,TotalEst,CensusCode2,Name,Unsheltered,Sheltered,Total
2016,206300c,1101,206300c,Downtown,425.4,676,
2016,206300a,783,206300a,Downtown,302.599999999999,480,
2016,206300b,770.8,206300b,Downtown,297.9,473,
2016,232700a,393.9,232700a,Vermont-Slauson,108.9,285,
2016,226002b,373.7,226002b,Downtown,273.2,101,
2016,701100b,356.9,701100b,Veterans Administration,36.3,321,
2016,277400,349,277400,Westchester/Playa,349,0,
2016,206200b,321.4,206200b,Downtown,272.2,49,
2016,532304c,258,532304c,Commerce,5.7,252,
2016,121900b,243.9,121900b,Sun Valley,9.5,234,
2016,231100b,242.8,231100b,Historic South-Central,139.3,104,
2016,192700a,200.7,192700a,East Hollywood,156.1,45,
2016,121900a,194.1,121900a,Sun Valley,7.5,187,
2016,265520b,178.5,265520b,Westwood,67.1,111,
2016,273402,178,273402,Venice,178,0,
2016,400402b,177,400402b,Glendora,18.5,159,
2016,231800a,175.899999999999,231800a,Historic South-Central,175.899999999999,0,
2016,601401b,174.1,601401b,Inglewood,10.7999999999999,163,
2016,122122,169,122122,Sun Valley,119,50,
2016,226700,0,226700,Historic South-Central,169,0,
2016,231800b,157.1,231800b,Historic South-Central,157.1,0,
2016,206050,144,206050,Boyle Heights,144,0,
2016,408800b,142.3,408800b,Pomona,75.5,67,
2016,190901,142,190901,Hollywood,10,132,
2016,232400,0,232400,Vermont Square,39,103,
2016,206032,141,206032,Boyle Heights,35,106,
2016,208903b,140.3,208903b,Westlake,15.8,125,
2016,206200a,139.3,206200a,Downtown,118,21,
2016,408800a,136.7,408800a,Pomona,72.5,64,
2016,190700,131,190700,Hollywood,68,63,
2016,273300,128,273300,Venice,128,0,
2016,980014b,127.6,980014b,Wilmington,127.6,0,
2016,207102a,127.4,207102a,Chinatown,111.1,16,
2016,930200p,125.1,930200p,Tujunga Canyons,0,125,
2016,274100,123,274100,Venice,123,0,
2016,910001b,121.3,910001b,Palmdale,121.3,0,
2016,104320,121,104320,Pacoima,1,120,
2016,209200a,116.2,209200a,Westlake,116.2,0,
2016,900103a,108,900103a,Northeast Antelope Valley,108,0,
2016,224600,106,224600,Historic South-Central,62,44,
2016,232700b,105.1,232700b,Vermont-Slauson,29.1,76,
2016,240200,104,240200,Broadway-Manchester,104,0,
2016,206200c,101.1,206200c,Downtown,85.6999999999999,15,
2016,209104,100,209104,Westlake,2,98,
2016,540902b,99.9,540902b,Willowbrook,99.9,0,
2016,900104b,99.5,900104b,Northeast Antelope Valley,99.5,0,
2016,191201,98,191201,East Hollywood,48,50,
2016,231720a,97.6,231720a,Vermont Square,97.6,0,
2016,540902a,95.1,540902a,Willowbrook,95.1,0,
2016,273200,95,273200,Venice,77,18,
2016,980014a,92.4,980014a,Wilmington,92.4,0,
2016,237300,90,237300,Chesterfield Square,1,89,
2016,532304b,89.5,532304b,Bell,1.9,88,
2016,209102a,89.4,209102a,Westlake,75.5,14,
2016,550400,89,550400,Downey,89,0,
2016,602801,88,602801,Westmont/West Athens,88,0,
2016,192700b,87.3,192700b,East Hollywood,67.9,19,
2016,267403b,87.1,267403b,West Los Angeles,2.8,84,
2016,117408,86,117408,North Hills,86,0,
2016,294110,0,294110,Wilmington,0,0,
2016,533001,0,533001,Florence-Firestone,0,0,
2016,206200d,85.3999999999999,206200d,Downtown,72.3,13,
2016,910001e,85.1,910001e,Northeast Antelope Valley,85.1,0,
2016,900104a,84.5,900104a,Northeast Antelope Valley,84.5,0,
2016,273502,83,273502,Venice,83,0,
2016,910001d,80.6999999999999,910001d,Sun Village,80.6999999999999,0,
2016,228420b,80.3,228420b,Historic South-Central,80.3,0,
2016,191901,80,191901,Hollywood,66,14,
2016,197420,0,197420,Echo Park,10,70,
2016,207710a,79.7,207710a,Downtown,58.3,21,
2016,503301,79,503301,Whittier,0,79,
2016,237202,78,237202,Chesterfield Square,78,0,
2016,503302,0,503302,South Whittier,7,71,
2016,980024,0,980024,Sepulveda Basin,78,0,
